StoreCode,StoreName
B10013,Wireless Mandaue
B10049,Gorordo Cebu
 B10052 ,Banawa Cebu
B10114,Ompad Lapulapu
B10138,Minglanilla I (Public Market)
B10153,Sanciangco Cebu City
B10192,San Fernando Cebu
B10203,C. Padilla Cebu City
B10281,Dalaguete Cebu
B10304,Villilia Novaliches
B10379,Lavina Valencia Bukidnon
B10394,Gen. Aguinaldo Iligan
B10405,Lopez Ave. Sucat Paranaque City
B10417,Cabreros Cebu City
B10468,Minglanilla II (Ward 3 Nat'l Hiway)
B10495,Ibabao Mandaue 
B10518,Pagsabungan Mandaue
B10545,Mustang Lapulapu 
B10673,T. Padilla Cebu City
B10851,Basak I (Pardo-USJR) Cebu City
B10887,Maguikay Mandaue 
B10925,Jamisola Pagadian City
B10952,Bulacao Pardo Cebu City
B10964,Cogon Pardo Cebu City
B11078,Maribago Lapulapu 
B11128,Oslob Cebu
B11155,Simala Sibonga Cebu
B11256,Argao Cebu
B11271,Marigondon Lapulapu
B11283,Sunny Hills Talamban Cebu City
B11321,Fatima Cebu City
B11369,Mambaling Cebu City
B11458,Tubod Lanao del Norte
B11511,Lutopan Toledo City
B11559,Sugbuanon Colon
B11562,Boljo-on Cebu
B11586,Terminal I (So. Terminal) Cebu City
B11651,Quezon Valencia
B11663,Lipata Minglanilla
B11675,Carmen Cebu
B11713,Sangi Lapulapu
B11725,V. Rama-Tres Cebu City
B11737,Naga Cebu
B11776,Tanjay Negros Oriental
B11814,Pit-os Cebu City
B11877,Maranding Lanao del Norte
B11889,Aznar Cebu City
B11892,V. Rama-Calamba Cebu City
B11903,Tungkop Minglanilla
B12044,Bais Negros Oriental
B12056,Maramag Bukidnon
B12068,Binan Laguna
B12095,Mango Cebu City
B12121,Polomolok South Cotabato
B12133,Salinas Lahug
B12362,Rajah Soliman Baguio City
B12436,Colon Cebu City
B12549,Lipa Batangas
B12591,Talamban Proper Cebu City
B12614,Pateros Manila
B12653,Kauswagan Cagayan de Oro
B12727,Don Jose Avila Cebu City
B12754,Buendia Pasay City
B12793,Siniloan Laguna
B12894,San Fernando City La Union
B12932,Hilltop Market Baguio City
B12944,Mindanao Ave-Tandang Sora Quezon City
B12956,Banilad Cebu City
B13147,B. Rodriguez Cebu City
B13301,Laoag City Ilocos Norte
B13414,A. Rodriguez Rosario Pasig
B13492,Barili Cebu
B13593,Pacita Complex San Pedro Laguna
B13756,Magsaysay Baguio City
B13845,Sudlon Lahug Cebu City
B14036,San Pedro Town Center Laguna
B14137,Olongapo City Zambales
B14292,Kinasang-an Pardo Cebu City
B14303,Ipil Zamboanga Sibugay
B14378,Ginatilan Cebu
B14393,Cordova Mactan
B14404,Mabolo Cebu City
B14428,Sucat Road Paranaque
B14482,Calamba Misamis Occidental
B14532,Bacayan Cebu City
B14556,Matina Shrine Davao City
B14595,Hagnaya Cebu
B14669,Sibonga Cebu
B14823,Don Carlos Bukidnon
B14898,Panabo Davao
B14963,Skyline Davao
B15139,Mantalungon Dalaguete (2)
B15154,Jungquera cor. R. R. Landon Cebu
B15216,Fatima Gen. Santos City
B15228,Kawit Medellin Cebu
B15231,Daanbantayan Cebu
B15243,Gov. Lim Zamboanga
B15282,Siquijor Siquijor
B15294,Bangued Abra
B15406,Centro Mandaue
B15418,Olympus Arcade Novaliches
B15484,Divisoria Dry Cawayan Masbate
B15496,Sangi Toledo
B15507,P. Montoya Silang Cavite
B15519,Sogod Leyte
B15558,Tangub Mis. Occidental
B15597,Larena Siquijor
B15608,Roxas Tagum
B15623,Ancajas Medellin
B15662,Agora Lapasan Cagayan de Oro
B15698,S. Osmena Lapu-lapu
B15712,Poblacion Muntinlupa Market Muntinlupa
